Name,LastSeen,FirstSeen,NetLastSeen,NetFirstSeen,IpAddress,MacAddress,IsOnline,SerialNumber,HardwareMACAddress,AirWatchID,MerakiID,BatteryLevel,SpaceInternalRemaining,SpaceInternalTotal,IsPosi2_6_0Installed,IsMACRandomizationDisableInstalled
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/3/2024 2:16,8/4/2023 16:46,10.10.1.105,,FALSE,,101EDA5D38A6,0,k326526,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/9/2023 19:46,10.44.3.100,,TRUE,,101EDA5F05DF,0,k79dfd2,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/9/2023 19:47,10.44.3.102,,TRUE,,101EDA5F05EA,0,k8ed929,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,9/8/2024 7:13,1/18/2024 4:14,10.44.3.109,,FALSE,,101EDA5D357B,0,k110b3b,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/9/2023 19:45,10.44.3.101,,TRUE,,101EDA5F063D,0,kb99d16,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/2/2024 19:14,10.44.3.112,,TRUE,,16F1C87E2B40,0,k14ad71,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/9/2023 19:45,10.44.3.105,,TRUE,,101EDA5F05BF,0,kdc1945,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,1/18/2024 4:19,10.44.3.108,,TRUE,,101EDA5D3CE8,0,k1e94f2,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/9/2024 3:32,10.44.3.111,,TRUE,,9A4ECC9E6788,0,k2321bc,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/9/2023 19:45,10.44.3.103,,TRUE,,101EDA5F0554,0,k3ef45d,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,9/28/2024 9:10,8/9/2023 19:45,10.44.3.104,,FALSE,,101EDA5F05EC,0,k08949b,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/21/2023 22:58,10.44.4.103,,TRUE,,101EDA5F0738,0,k6537a1,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,2/13/2024 20:27,10.44.4.107,,TRUE,,101EDA5D3679,0,k786f86,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/18/2023 18:46,10.44.4.100,,TRUE,,101EDA5DA8AD,0,ka4edcc,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,3/28/2023 17:49,10.44.4.114,,TRUE,,9A4D4B4D3544,0,kad7749,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,8/21/2023 22:59,10.44.4.104,,TRUE,,101EDA60F2B2,0,kb78330,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,11/3/2023 22:38,10.44.4.117,,TRUE,,9EEBD0A39B29,0,kda1c7d,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,2/13/2024 20:27,10.44.4.108,,TRUE,,101EDA5D3391,0,ke44432,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:35,2/13/2024 20:28,10.44.4.109,,TRUE,,101EDA5D386D,0,kf33ede,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/21/2023 22:58,10.44.4.106,,TRUE,,101EDA60F363,0,kf414b2,0,0,0,FALSE,FALSE
,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,10/7/2024 20:36,8/21/2023 22:58,10.44.4.102,,TRUE,,101EDA5F086A,0,kf79ae0,0,0,0,FALSE,FALSE
